7zip 25.01-1
haskell-http-date 0.0.11-237
haskell-http-media 0.8.1.1-113
haskell-http-types 0.12.4-133
haskell-http2 5.1.0-7
haskell-hunit 1.6.2.0-423
haskell-indexed-traversable 0.1.4-175
haskell-indexed-traversable-instances 0.1.2-124
haskell-infer-license 0.2.0-352
haskell-integer-conversion 0.1.1-53
haskell-integer-logarithms 1.0.4-140
haskell-iproute 1.7.15-83
haskell-ipynb 0.2-275
haskell-isocline 1.0.9-4
haskell-jira-wiki-markup 1.5.1-121
haskell-juicypixels 3.3.9-90
haskell-lexer 1.2-2
haskell-libyaml 0.1.4-153
haskell-lpeg 1.1.0-35
haskell-lua 2.3.3-98
haskell-memory 0.18.0-107
haskell-mime-types 0.1.2.0-4
haskell-mmorph 1.2.1-2
haskell-monad-control 1.0.3.1-266
haskell-mono-traversable 1.0.21.0-127
haskell-network 3.1.4.0-120
haskell-network-bsd 2.8.1.0-310
haskell-network-byte-order 0.1.7-4
haskell-network-control 0.1.3-14
haskell-network-uri 2.6.4.2-132
haskell-old-locale 1.0.0.7-33
haskell-old-time 1.1.0.4-5
haskell-onetuple 0.4.2-180
haskell-only 0.1-25
haskell-optparse-applicative 0.18.1.0-252
haskell-ordered-containers 0.2.4-99
haskell-os-string 2.0.8-86
haskell-pandoc 3.4-18
haskell-pandoc-lua-engine 0.3.2-20
haskell-pandoc-lua-marshal 0.2.9-5
haskell-pandoc-server 0.1.0.8-21
haskell-pandoc-types 1.23.1-156
haskell-pem 0.2.4-385
haskell-pretty-show 1.10-20
haskell-prettyprinter 1.7.1-358
haskell-prettyprinter-ansi-terminal 1.1.3-464
haskell-prettyprinter-compat-ansi-wl-pprint 1.0.2-232
haskell-primitive 0.9.1.0-110
haskell-psqueues 0.2.8.2-50
haskell-quickcheck 2.15.0.1-90
haskell-random 1.2.1.3-176
haskell-recv 0.1.1-70
haskell-regex-base 0.94.0.3-3
haskell-regex-tdfa 1.3.2.5-6
haskell-resourcet 1.2.6-240
haskell-safe 0.3.21-104
haskell-safe-exceptions 0.1.7.4-186
haskell-scientific 0.3.8.0-147
haskell-semialign 1.3.1-52
haskell-semigroupoids 6.0.1-96
haskell-serialise 0.2.6.1-166
haskell-servant 0.20.3.0-43
haskell-servant-server 0.20.3.0-56
haskell-sha 1.6.4.4-22
haskell-simple-sendfile 0.2.32-188
haskell-singleton-bool 0.1.8-45
haskell-skylighting 0.14.3-15
haskell-skylighting-core 0.14.3-15
haskell-skylighting-format-ansi 0.1-284
haskell-skylighting-format-blaze-html 0.1.1.3-138
haskell-skylighting-format-context 0.1.0.2-248
haskell-skylighting-format-latex 0.1-283
haskell-socks 0.6.1-337
haskell-some 1.0.6-71
haskell-sop-core 0.5.0.2-4
haskell-split 0.2.5-144
haskell-splitmix 0.1.3-4
haskell-statevar 1.2.2-5
haskell-streaming-commons 0.2.3.1-1
haskell-strict 0.5.1-15
haskell-syb 0.7.3-66
haskell-tagged 0.8.9-3
haskell-tagsoup 0.14.8-325
haskell-tasty 1.5.2-62
haskell-temporary 1.3-897
haskell-texmath 0.12.8.11-7
haskell-text-conversions 0.3.1.1-163
haskell-text-icu 0.8.0.5-103
haskell-text-iso8601 0.1.1-53
haskell-text-metrics 0.3.3-43
haskell-text-short 0.1.6-178
haskell-th-abstraction 0.5.0.0-2
haskell-th-compat 0.1.6-82
haskell-th-lift 0.8.6-2
haskell-th-lift-instances 0.1.20-151
haskell-these 1.2.1-224
haskell-time-compat 1.9.8-25
haskell-time-manager 0.0.1-145
haskell-tls 2.0.6-63
haskell-toml-parser 2.0.1.2-62
haskell-transformers-base 0.4.6-266
haskell-transformers-compat 0.7.2-4
haskell-type-equality 1.0.1-3
haskell-typed-process 0.2.13.0-151
haskell-typst 0.6-11
haskell-typst-symbols 0.1.6-2
haskell-unicode-collation 0.1.3.6-119
haskell-unicode-data 0.6.0-33
haskell-unicode-transforms 0.4.0.1-176
haskell-uniplate 1.6.13-334
haskell-unix-compat 0.7.4.1-45
haskell-unix-time 0.4.17-68
haskell-unliftio 0.2.25.1-88
haskell-unliftio-core 0.2.1.0-4
haskell-unordered-containers 0.2.20.1-15
haskell-utf8-string 1.0.2-254
haskell-uuid-types 1.0.6-222
haskell-vault 0.3.1.5-296
haskell-vector 0.13.2.0-325
haskell-vector-algorithms 0.9.1.0-115
haskell-vector-stream 0.1.0.1-4
haskell-wai 3.2.4-146
haskell-wai-app-static 3.1.9-222
haskell-wai-cors 0.2.7-482
haskell-wai-extra 3.1.18-30
haskell-wai-logger 2.5.0-134
haskell-warp 3.4.0-8
haskell-witherable 0.4.2-229
haskell-word8 0.1.3-25
haskell-x509 1.7.7-158
haskell-x509-store 1.6.9-61
haskell-x509-system 1.6.7-64
haskell-x509-validation 1.6.12-66
haskell-xml 1.3.14-33
haskell-xml-conduit 1.9.1.4-142
haskell-xml-types 0.3.8-11
haskell-yaml 0.11.11.2-197
haskell-zip-archive 0.4.3.2-104
haskell-zlib 0.7.0.0-66
hcxdumptool 6.3.5-1
hdf5 1.14.6-5
hdparm 9.65-3
heaptrace 2.2.8-1
help2man 1.49.3-2
hexchat 2.16.2-5
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highlight 4.18-1
highway 1.3.0-1
hiredis 1.3.0-1
howdy 2.6.1-1
hping 3.0.0-6
hsetroot 1.0.5-2
hslua-cli 1.4.3-80
hspell 1.4-5
htop 3.4.1-1
http-parser 2.9.4-2
httpie 3.2.4-1
hugo 0.152.2-1
hunspell 1.7.2-2
hwdata 0.401-1
hwloc 2.12.2-1
hydra 9.5-2
hyperv 6.17-2
hyphen 2.8.8-6
i2c-tools 4.4-3
i2pd 2.58.0-2
i3-battery-popup-git r51.d894a10-1
i3-wm 4.24-1
i3blocks 1.5-4
i3lock-color-git r739.f745450-1
i3lock-fancy-git r176.1734f77-1
i3status 2.15-1
iaito 5.9.9-1
iana-etc 20251114-1
icedtea-web 1.8.8-1
icoutils 0.32.3-3
icu 78.1-1
igraph 1.0.0-2
ijs 0.35-6
imagemagick 7.1.2.8-1
imake 1.0.10-2
imath 3.2.2-2
iml 1.0.5-4
imlib2 1.12.5-1
inetutils 2.6-1
influx-cli 2.7.3-1
influxdb 2.7.10-1
iniparser 4.2.6-2
inkscape 1.4.2-11
inotify-tools 4.25.9.0-1
intel-gmmlib 22.8.2-1
intel-gpu-tools 2.2-1
intel-media-driver 25.3.4-1
intel-media-sdk 23.2.2-5
intel-oneapi-common 2024.1.0-1
intel-oneapi-compiler-dpcpp-cpp-runtime 2025.0.4-1
intel-oneapi-compiler-dpcpp-cpp-runtime-libs 2025.0.4-1
intel-oneapi-compiler-shared-opencl-cpu 2023.0.0-7
intel-oneapi-compiler-shared-runtime 2025.0.4-2
intel-oneapi-compiler-shared-runtime-libs 2025.0.4-2
intel-oneapi-openmp 2025.0.4-1
intel-oneapi-tbb 2021.12.0-2
intel-oneapi-tcm 1.2.0-3
intel-speed-select 6.17-2
intel-ucode 20251111-1
intel-undervolt 1.7-3
inter-font 4.1-1
